codim: 4, face: 164/208, weights: [1, 0, 0, 0, -1, 1], discriminant: 1
codim: 4, face: 165/208, weights: [1, -1, -2, -2, -1, 0], discriminant: 1
codim: 4, face: 166/208, weights: [0, -1, -2, -2, -2, -1], discriminant: 1
codim: 4, face: 167/208, weights: [1, 0, -1, -1, -1, 1], discriminant: 1
codim: 4, face: 168/208, weights: [1, 0, -1, 0, -1, 0], discriminant: 1
codim: 4, face: 169/208, weights: [1, -2, -1, -1, 1, 0], discriminant: s12 - s45
codim: 4, face: 170/208, weights: [1, -1, 0, 1, 1, 0], discriminant: 1
codim: 4, face: 171/208, weights: [1, -1, -2, -1, 1, 0], discriminant: s12 - s45
codim: 4, face: 172/208, weights: [1, 0, -1, 1, 1, 0], discriminant: 1
codim: 4, face: 173/208, weights: [0, -2, -1, -1, -1, -2], discriminant: 1
codim: 4, face: 174/208, weights: [1, -1, 0, 0, 1, -1], discriminant: 1
codim: 4, face: 175/208, weights: [0, -2, -2, -2, 0, -2], discriminant: 1
codim: 4, face: 176/208, weights: [1, -1, 0, 1, 0, -1], discriminant: 1
codim: 4, face: 177/208, weights: [0, -1, -1, 0, -1, -2], discriminant: 1
codim: 4, face: 178/208, weights: [1, 0, 0, 1, 1, -1], discriminant: 1
codim: 4, face: 179/208, weights: [-1, -1, -3, -1, -1, -3], discriminant: 1
codim: 4, face: 180/208, weights: [0, 0, -2, 0, 1, -2], discriminant: 1
codim: 4, face: 181/208, weights: [0, 0, -2, 1, 0, -2], discriminant: 1
codim: 4, face: 182/208, weights: [2, 0, 2, 2, 2, 3], discriminant: 1
codim: 4, face: 183/208, weights: [2, 0, 2, 2, 3, 2], discriminant: 1
codim: 4, face: 184/208, weights: [2, 0, 0, 0, 2, 2], discriminant: 1
codim: 4, face: 185/208, weights: [2, 0, 2, 3, 2, 2], discriminant: 1
codim: 4, face: 186/208, weights: [2, 1, 1, 2, 1, 2], discriminant: 1
codim: 4, face: 187/208, weights: [2, 1, 1, 2, 2, 1], discriminant: 1
codim: 4, face: 188/208, weights: [2, 1, 0, 1, 1, 2], discriminant: 1
codim: 4, face: 189/208, weights: [2, 1, 0, 1, 2, 1], discriminant: 1
