codim: 2, face: 19/133, weights: [0, 0, 0, 0, 1, 1, 0], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2
codim: 2, face: 20/133, weights: [1, 0, 0, 0, 1, 1, 2], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2
codim: 2, face: 21/133, weights: [1, 0, 0, 0, 1, 2, 1], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2
codim: 2, face: 22/133, weights: [1, 0, 0, 0, 2, 1, 1], discriminant: m2^2 - 2*m2*m3 - 2*m2*t + m3^2 - 2*m3*t + t^2
codim: 2, face: 23/133, weights: [1, -1, 0, 0, 1, 1, 1], discriminant: 1
codim: 2, face: 24/133, weights: [0, -1, -1, -1, 0, 0, 0], discriminant: 1
codim: 2, face: 25/133, weights: [-1, 0, 0, 1, 0, 0, 0], discriminant: m2
codim: 2, face: 26/133, weights: [0, 0, 0, 1, 0, 0, 1], discriminant: m1^2 - 2*m1*m4 - 2*m1*t + m4^2 - 2*m4*t + t^2, m2
codim: 2, face: 27/133, weights: [-1, -1, 0, 1, 0, 0, -1], discriminant: 1
codim: 2, face: 28/133, weights: [0, -1, 0, 1, 0, 0, 0], discriminant: m1^2 - 2*m1*m4 - 2*m1*t + m4^2 - 2*m4*t + t^2
